,Sentence,Emotion
13477,아주. 쇼를해요. 이게 나라냐. 미친것덜,분노
13478,베댓 보니 여기는 다 초딩들만 있나봐,분노
13479,돌에 맞아 죽어라,분노
13480,자연을 파괴하는건 언제나 인간들..,분노
13481,닭대가리 할망구야 말로 하루속히 제정신으로 돌아와 진실을 밝히도록 하거라.,분노
13482,박근혜 최순실 광화문 한복한에 놓고 장성택 꼴내고싶다,분노
13483,아니 삼성페이 마일리지 10만원에 추가요금 더해서 무선충전하고led케이스를 삿는데 다른 제품으로 바꾸면 이 두개다 쓰지도 못 하게 되는건데 이건 어쩌란말이지?,분노
13484,국조특위는 그알 끝나자 마자 특검에 김기춘 우병우 위증죄로 고발하시길. . .,분노
13485,한국에 태어난게 잘못이지,분노
13486,메머드 같은 동물로 생태계 파괴하지 말고...인간때문에 멸종된 동물들..살려내!!,분노
13487,이런 건 뭐 놀랍지도 않다 군인분들 힘내시길 닭잔치하시겟넹..,분노
13488,국민을 아주 닭대가리로 아는군~쯧,분노
13489,그냥 예보하지마라. 뭣이중헌디?,분노
13490,새누리는 비대위원장을 차라리 잡코리아에 올려 공정하게 뽑아라..ㅋㅋ,분노
13491,기래기가 뭐래...둘이 엮지 말아.......븅...,분노
13492,차선 바꾸는것도 있으면 좋겠음 ㅠㅠ,분노
13493,진짜 다 도둑놈 ㅅㄲ 들,분노
13494,증거불충분이지 무죄임은 아님,분노
13495,팔 잘라서 범죄로 쓰겠네,분노
13496,총기소지를 허용하라..,분노
13497,위증죄를 엄벌에 처하도록 법을 계정해야됨..,분노
13498,박죄인은 국민의 어명을 받들라사약을 내리겠노라,분노
13499,"훈장, 동상, 생가 이딴거 만들돈을 국민을 위해 써라",분노
13500,설마 했는데 역시 기우제 지내는게 확실한 개상청,분노
13501,그네처럼찬성표던지고 웃으면서내려오자 골빈년,분노
13502,세상에서 제일 편하게 살고있는 김치년을 더 편하게 만들자는 이 취지의 밑바닥은 어디란 말이요,분노
13503,아 진짜 헬조선은 헬국민이 만든다.,분노
13504,염병하네 염병하네 염병하네,분노
13505,나라를 이 지경까지 망쳤으면! 삼족보다 더 한게 마땅 한들!,분노
13506,왜 3범인데 700내냐.징 역을 살게해야지.그지같은 법,분노
13507,이참에 학실하게 인연끈어삐라 시호야,분노
13508,뒷방 늙은이가 장기나두지 너무 나댔구만,분노
13509,저딴것들이 믄 대통령이고 퍼스트레이디야 기가찬다기가차,분노
13510,"예산낭비의 표본도대체 얼마를 들여, 헛 짓을 했는지필히 감사해야함",분노
13511,이제 그만 손주보러 가셔요,분노
13512,박근혜 하야 하라!,분노
13513,국가의 반역자들이 심판 받는 그날까지 참여 하여 소리치고 외치겠습니다.,분노
13514,일본한태 지배받는게 더 낮다,분노
13515,나라 말아먹으려고 작정을했네 ㅆㅣㅂㄴ들이...,분노
13516,낡은 전기시설좀 제대로 신식으로 고쳐라,분노
13517,이런 사례가 더있는지도 조사해라 그래야 조사가 재대로 이뤄졌는지 국민들이 알지,분노
13518,가족은 건드리지 말자,분노
13519,거짓말을 산처럼 쌓은건 박근혜 니년이다 씨댕아,분노
13520,이참에 바다속으로 사라져라,분노
13521,상아를 가지고 있는 인간들 모가지를 다 짤라야한다.,분노
13522,그놈에 낯짝!,분노
13523,대한민국 대통령이 아니고 대한제국 여제.,분노
13524,비밀번호는 므슨지랄 세끼들,분노
13525,이젠 로마도 일본거라고 하겠네.,분노
13526,뺑소니치고 또거짓말하네 최고형벌!!!!,분노
13527,우병우 너 노무현 대통령 죽였으니 그 댓가를 치러야 할꺼다,분노
13528,이건 구라청과 한전의 음모다,분노
13529,필요없어 통신비 할인으로 줘,분노
13530,특검 저 새끼들도 삼성 장학금 받고 다 짜고 치는 넘들인데 뭔 힘내라고 난리냐 개이버 꼴통들 멍청한거냐 순진한거냐,분노
13531,감옥에 잡아 처넣어라.,분노
13532,저게 대통령으로써 할짓이냐!저런년을 좋아한다는 박사모도 똑같은 무뇌아다.,분노
13533,십억엔에국민자존심판외교부순실이장관대단해,분노
13534,느네들 해적질이나 잘 단속할것이지,분노
13535,병신틀딱 놈들 국민연금 손해본 몇 천억은 안아깝고 삼성이 틀딱들한테 해준게 뭐라고 응원함?? ㅋㄷㅋㄷ,분노
13536,빨갱이같은놈,분노
13537,개념없이 찢어진 계집년은 잡아다 더 째야...,분노
13538,마음 같아선 쳐들어가서 죽여 버리고 싶고만 참다 병생기겠다,분노
13539,열심히 하시는 것 같은데 비난하는 사람들 뭐지,분노
13540,저돈은 어디서 나온걸까...ㅡㅡ,분노
13541,능력없는 근혜 그 자리 비우시요.,분노
13542,눈깔 하나 뽑고 정중하게 다시 물어보세요.,분노
13543,이년은 끝이 어딜까요?,분노
13544,이젠 선동질까지 하는 기사를 올리는구나,분노
13545,못사는것들 ㅂㄷㅂㄷ,분노
13546,남산 보호라곤 ㅣ도 없는 사람들,분노
13547,우리나라 후진국티내냐,분노
13548,동구청 삽으로 퍼다 버려라,분노
13549,안보불감증 해소를 위해 트럼프가 꼭 되어야 겠다,분노
13550,그러니까 구속해서 구치소에 한달만 가다놔봐라 다 불게 되어있다,분노
13551,아저씨. 입이 있다고 나불대지말고 생각이란 걸 해라.,분노
13552,이게 박정희 후빨틀딱충들의 전형적인 모습이다ㅋㅋㅋㅋ,분노
13553,우리나 미국이나 똑똑한 것들이 다 뺏어가는 법,분노
13554,좌빨은 청소가 답외국도 예외는 아님,분노
13555,이제 그만 감옥으로 ㄲ져라,분노
13556,미친폭도들이 개난리쳐서 대통을 바꾸는걱 제 정신이냐?,분노
13557,보수 새끼들은 아직도 뭐가 뭔지 모르고 ㅈ ㅣ 라 ㄹㄹ하고있다,분노
13558,저게 내이버에 나올일인가?,분노
13559,흥민아 군대 가야지?????,분노
13560,홧병난거 전국민 병원비 전부 합해서 그네랑 순시리에게 다 손해배상 받아내자.,분노
13561,닭장 청소합시다!,분노
13562,금이 저렇게 다발로 금색 페인트 칠해논거 처럼 뭍혀 있다고? ㅎㅎㅎ 재밌네 중국,분노
13563,아..진짜..주먹구구 정책내놓는 분들.. 이미세먼지 당신네가족들도 마시고있다고..,분노
13564,ㅋㅋㅋ 애꿋은 국민들을 폭도로 유도하고 있고나!!!!,분노
13565,양키 고 홈,분노
13566,근데. . .이렇게 질기게 버티는 닭도 세계적으로 기억될 것. . .ㅠㅠ,분노
13567,무조건 빨리빨리 무조건 대충대충하다 사단나는 인재,분노
13568,개또라이 여폔네들 절대합의해주지 마세요,분노
13569,봤는데 돈이 너무 아깝워서 속쓰리다ㅜㅜ,분노
13570,쎄보이는 사람에게 화풀이 하면 뒤지게 맞을까봐 만만해 보이는 약자 상대로만 G랄하는 미개한 새끼들,분노
13571,10억엔에 목숨걸고 진짜 비굴하게 외교하네..일본대사 필요없고 외교부 문 닫아라 그냥,분노
13572,하아..박근혜는 잡아두고 조금씩 죽여주길..,분노
13573,나중엔 설탕의누명이라면서 설탕섭취로 살빼잔 소리까지 나오겠네,분노
13574,아시바 단통법 죽여불고싶다,분노
13575,네이버 95프로는 기사와 여론을 조작한다고 보면됨,분노
13576,독재자 딸이 당선되고 나서 공산국가 다 됐다.,분노
13577,ㅋㅋㅋㅋㅋ 바닷가근처라고 좋아하다가 한방에 훅 간다 저기에 왜 사냐 ㅋㅋㅋㅋ,분노
13578,최재원데리고와라!,분노
13579,우리 대통령이나 저짝 대통령이나??국민들 골치아프겠다,분노
13580,성범죄자새키,분노
13581,인정사정 없는것들이 최순실 박근혜 이 두년한테는 너그럽지?,분노
13582,연류된 자식새끼들 팽목항 바다에 죄다 처넣어라,분노
13583,여러분 돈 졸라 법시다유전무죄 무전 유죄~,분노
13584,드라마는 꿰뚫고있으면서,분노
13585,국민들이 아직도 머리에 똥만 찬 줄 알지,분노
13586,망할종자들 지들 인구많아서 많이 뒈져도 상관 없다지만 니들이 대기오염 시켜서 남의 나라에 민폐끼치는게 도대체 한 두가지냐??!!,분노
13587,인간을 위한 진정한 화폐제도는 똥본위제다!!,분노
13588,아니 북괴에게 나라 팔아넘기려는 국가전복세력 리스트 만들어서 관리하는게 뭐가 문제지?,분노
13589,"한국 외교부도.. 공식적으로 통보해라.... ""하나의 중국을 인정하지 않는다""",분노
13590,국민들 피눈물 흘리는건 안보이지..아휴 18.,분노
13591,실물 공개하지는 못하고 엉뚱한 증언 가지고 증거라고 우길려나보네,분노
13592,"개설레발,선동질한 언론 잡아야한다",분노
13593,하여튼 저런놈이 분란과 지역감정부추기고저것들이 진짜 북에서 지령받았을지도 모를일이다.,분노
13594,관련된사람다 재산몰수하라고!!!!!!!!!,분노
13595,이휘재는 오남매와 합방했을때 촬영 안하고 있을때 시민이 찍어 올린 애들 발로차는 영상 보니까 노답임,분노
13596,요즘 쪽바리보다 짱깨가 더 극혐이다.,분노
13597,정유라가 박근혜 딸인가?,분노
13598,솔까 이원석 이흥련 1대1 트레이드해도 누가 손해니 뭐니 못하지 않음?,분노
13599,꼭 세차하면 비오네.. ㅂㄷ,분노
13600,나라 이름도 바꾸자나라 꼴이~~,분노
13601,너그들도 을의 입장에서 당해봐라,분노
13602,우병우같은거지 너는,분노
13603,우리나라만 등신대응,분노
13604,이완영 저새끼 저럴줄알았다,분노
13605,그네의 분노 그것은 자당의원들의 탄핵가결투표!,분노
13606,최초 태블릿은 조작되었군,분노
13607,이게 다 최순실 때문이다 ㅇㅈ?,분노
13608,애초에 규모가 비교가 안되는데 둘을 동일선상에 놓고 마치 경쟁한다는 듯 기사를 쓰는 까닭은???,분노
13609,어후.. 기사 보니까 담배 땡기네.. 고고씽,분노
13610,목소리 크고 성격 가칠하면 살기 편한 나라!,분노
13611,닭이 전 국민을 대상으로 수십년 동안 사기를 쳤다.,분노
13612,올해는 청와대 늙은년 길라임이 대상감이다..,분노
13613,자기자식이 저상황이고 총이있었다면 누구든지 총을쐇을것이다!,분노
13614,한번 싸웠어야 했는데...,분노
13615,개집은 16강이 딱이야,분노
13616,가야될새끼들은 안가네,분노
13617,공갈치시네 개상청 ㅗㅗ,분노
13618,호갱이들 주머니 털어서 전경유착 자금으로 쓰실려고 ?,분노
13619,이기적이고 형편없는 보수 꼴통들의 승리,분노
13620,박근혜 하야를 원합니다 !!!,분노
13621,세상이 흉흉하니 포주가 상을 받을라하네,분노
13622,진짜 자숙은 김용만처럼 해야지,분노
13623,청와대에서 보상해라!! 월급 받았으면 월급값을 해라!! 성과급도 강제로 회수해라!!,분노
13624,자거거가격이 2-3만원이 적당할것같은데 현실은 6만원이상 비싸다,분노
13625,새누리공산당 최후의 발악,분노
13626,흡연충 아웃 ㅋㅋㅋ,분노
13627,이 개녀니? ? ? ?,분노
13628,그네와 순시리를 북한이나 아프리카로 추방하자,분노
13629,하여튼 이나라 위정자 새끼들이란...,분노
13630,그동안 돈버른거 환수조치 해라,분노
13631,이제 교도소 영주권을 주노라.탕탕탕!,분노
13632,단교해라.,분노
13633,박근혜 당장 꺼져라,분노
13634,감빵 가기싫어 근혜뇬 망명도 고려한다지...,분노
13635,애플이 인도인을 미개인으로 취부하는데 어느 누가 좋다고 승인해 주겠나!,분노
13636,니색기들은 강한 나라에 똑같이 유린 당할거다.,분노
13637,지잡대 나온 못생긴 무식한 ㄴ 이 가르치려 들고 꼰대질에 정치판에 기웃거리기까지 진짜 극혐이다,분노
13638,이런걸 왜 기사로 쓰는지 이해불능,분노
13639,노래가나오냐18개노답이네,분노
13640,되게 힘든가봐..OS 폐쇄성이 부른 죄값이다.,분노
13641,차나끌지 마세요 밑에 비흡연충,분노
13642,그런생각을 가지셧으면서 게임중독법은 왜 만드심?,분노
13643,진짜 환경부가 제대로 하는게 뮙니까대체?,분노
13644,없는놈은 죄지으면 처리 속도가 lte 광대역급 속도구만 ㅎ,분노
13645,에휴...드러운 놈이네~,분노
13646,나라꼴 잘 돌아간다.. 정치고 경제고 교육이고 죄다 저 년이 좌지우지한거네,분노
13647,아니 도로에는 포켓몬 안뜨게 해야지 미쳤나,분노
13648,정말 정신 나갔네 ㅡㅡ,분노
13649,엥? 사실 여자 몸무게보고 흉보는건 같은 여자 아니냐?,분노
13650,대형항공사 로비받아서 실효성도 없는 규제하나더 창조했네. 역시 창조경제,분노
13651,대표적 사기꾼국가,분노
13652,미친 쪽빠리들 ㅡㅡㅡㅡㅡㅡ꺼져,분노
13653,그러다 범죄자들이 누깔 빼가면,분노
13654,이나라나 저나라으 개판이구나 개판,분노
13655,너희들이 보수냐!! 쌍것들아!!!,분노
13656,이 그럼 수석이 그냥 가서 나가라 하겠냐,분노
13657,감히...어따호나우지뉴형님과비교를,분노
13658,미국내 한국인 불법 거주자 가 많으니 이런 부당한 대우 를 받고도 강력한 항의도 제대로 못하네,분노
13659,"개누리, 닭과 같이 처단!!!",분노
13660,트럼프 조만간 암살...,분노
13661,이제 마음껏 관리받고 미용실도 가시길아 전에도 뭐 세상 편하게 하셨구나...,분노
13662,니들 청장이나 잡아,분노
13663,대선 나가려니 뭐 하긴 해야겠고 그래서 또 세금으로 생색내기,분노
13664,중국어선 이나 제대로 처리해라근본적인 원인 아니냐????,분노
13665,세상엔 미친사람이 참 많다,분노
13666,느~을 국민의 반대편에 서서 정권의 하수인역할만 하고 월급은 국민들한테 받아가니....,분노
13667,이래서 탄핵으로 끌려내려와야 기록물 저장 못하지,분노
13668,저거누가허가내주었는지 낱났이밝혀야합니다!,분노
13669,"그 사람 얼굴 보고 못할 말, 익명성 이용해서 하는 사람이 가장 찌질한 사람이죠.",분노
13670,이걸 기점으로 닭그네 탄핵후 구속 가자!!!,분노
13671,아무리 변호사지만 뭐가 옳은지를 보고 변호를 해라당신도 저 꼴 나기싫으면 바르게 살고 변호하시지~,분노
13672,역시중국 짜가나라 짜가가 제일이군요,분노
13673,돈만 밝히는 한국불교계를 떠난다는 외국인 승려말이 맞네,분노
13674,당장 끝내도 탄핵은 기각 될것이다 재수업는 야당과좌파 세력들,분노
13675,다 공범이당 다시는 국회의원 못하게 해야 한다.,분노
13676,법이란법은 지가 앞장서서 죄다 어겼구만!!!,분노
13677,담뱃값을 올리기전에 이걸 먼저 했었어야 되는거 아니냐?,분노
13678,"탄핵과 모든 관련자 민, 형사처벌 !!!",분노
13679,에혀 진짜 제대로 못하니 쫌!!!,분노
13680,뒷배가 누구냐?,분노
13681,야동도 보지 말라는거냐 ? 뭐 어쩌라고 싀ㅡ발련들아 나가서 성범죄 저지르라고 ?,분노
13682,닥치고 애플이나 삼성이나 가격이나 내려라.,분노
13683,사형시켜라!!!!!!!,분노
13684,당장 내일 날씨도 못맞추면서 뭔 가을예보 질이냐 수준맞게 예보해라,분노
13685,해킹한 사람 실명밝히고 처벌하자 사생활 침해는 범죄다.,분노
13686,하늘에서 쓰레기가 내려옵니다~~~,분노
13687,도둑놈~,분노
13688,국민연금 토해놓고 하야해라,분노
13689,세월호처럼 지하철학살시킬라구?? 미친것들,분노
13690,거짓말쟁이 닭그네,분노
13691,정유라년이나 잡아들여,분노
13692,순실이가 닭년 다음으로 바지대통령 만들려던 닭년 꼬봉세끼가 입만 살아서!!!,분노
13693,소는 누가키우냐 매일 대모질이사하고 이 개들아,분노
13694,그만해,분노
13695,인간들이 딴곳에선 찍소리도 못 하는 찌질이들이 꼭 지X 하더라,분노
13696,꼬리자르기 리액션은 안 통한다 검찰아,분노
13697,언론이 쓰레기 저질이구나 기레기 새끼,분노
13698,여기 저기 다들 미쳐돌아가는 세상이군....,분노
13699,짱개머니없으면 아무것도못하는 헬조선 ㅋ,분노
13700,저런것들을 잡아다가 총 칼이난무하는 시리아에 보내자,분노
13701,과연 자유민주국가답다,분노
13702,퍽이나 연장해주겠다 ㅋㅋㅋㅋ,분노
13703,"이래 저래 정부가 국민들 개호구로 만드는구나,",분노
13704,짱꼴라 애널써커짓좀 적당히쳐해라,분노
13705,이재용 신발새끼,분노
13706,이번 사건도 박근혜가 시켰다고 해보시지,분노
13707,나라세금 공짜로 지원하지마라,분노
13708,괘씸죄로 찍혀버려라,분노
13709,나라 팔아먹을 년이야 진짜 끔찍하다,분노
13710,미친개는 사살이 답이다.,분노
13711,노무현 대통령도 죽이는데 사람 하나 죽이기 껌이지?,분노
13712,박사모 일베 니들 한 짓은 고대로 돌려받을거다,분노
13713,차라리 자동차검사나 철저히 하지...,분노
13714,그 놈들 거쇄는 해서 내보내라!!!!,분노
13715,팔에 문신도 따라하더니 머리에 염색도 따라하고 곧 탈세도 따라하겠군,분노
13716,후안무치 전국민이 알게될 의미!,분노
13717,그 주둥이로 민심을 말하지마라 더러우니까,분노
13718,이러니까 가고싶은 군대라는말이 정신나간 소리 라는 말을듣지,분노
13719,박근혜의 모든 기억을 지울 수만 있다면 다 지우고싶다!!,분노
13720,이젠 예보를 하는건지 중계를 하는건지 그것도 아니면 그냥 씨부리는건지 구별이 안감,분노
13721,저걸어떻게잡어 ㅡㅡ,분노
13722,"박지원, 문재인 너들을 국개의원으로 보지않으니 북으로 가거라!",분노
13723,갑질 애플 썩은 애플,분노
13724,위증죄 추가해라 김영재,분노
13725,조선족 추방하라고 ㅡㅡ,분노
13726,사자굴에 쳐 던지고 싶다,분노
13727,대만놈들이 야후코리아 철수 할때 양아치 짓한거 아직도 잊지 못한다....,분노
13728,오지환 최군 군대가라,분노
13729,징핑 아 ㅡ. 어서 색출하여. 목을 쳐라.,분노
13730,대통령님...진짜...사실이면 대사관.영사관 모두 숙청바랍니다.,분노
13731,우끼고있네 역시조작의달인좌티비씨.,분노
13732,이새끼도 뒤가 구린 새끼드 조사해라..,분노
13733,나도 허리디스크에 수술까지했는데 2002년에 강원도인제로 군대 갔다왔다 !! 니가 지금 제정신이냐,분노
13734,군비리 척결 비추천 11멍 뭐데,분노
13735,안가...해외여행이나 갈려고.,분노
13736,모마인기있을때 핸들잡고 모마처하는새끼들 졸라 많이봄,분노
13737,답없는 빨갱이 신천지들,분노
13738,100만이 뭐야! 4998만 명 모이고도 남지!,분노
13739,니 부인도 속 지지리도 썩겠다..,분노
13740,노무현때는웃던데 자기가당하니까 배후있다고하네,분노
13741,박사모들아 김정은 개ㅇ끼 해봐. 못하지?,분노
13742,술안먹는 손님은 출입금지 안시키냐? ㅋ,분노
13743,하여튼 찍사쉐이들 문제많아요~,분노
13744,구라청.. 하다못해 핑계까지..,분노
13745,여성부 다음 먹퇴는 기상청...,분노
13746,말사느라 총알이 조금 부족했나보네,분노
13747,그나마 제 정신은 남경필 등 뿐이구만,분노
13748,김영재 당장구속 수사하라,분노
13749,진짜 어른으로서 창피하다 창피해!!,분노
13750,미국은 미국일뿐 어떠한 사상도 어떠한 우방도 민족을 앞설순없다! 김영삼,분노
13751,소녀가 아줌마 되면 그제야 방송출연 시킬거냐? yg야,분노
13752,아...진짜! 신이 계시다면 저것들좀 벌주세요.,분노
13753,"죄값을 달게 받아라,",분노
13754,"사드핑계대지 말고 한국은 쇼핑외에는 볼게 없어 ,인심도 바닥이지,관객을 호구로보질 안나,무시하지 안나",분노
13755,탄핵 장난하나요? 사형시켜야 합니다!!!,분노
13756,최순실이가 대한민국을 최고로 빛낸 인물도 아니고 안좋는것은 덮고 가자 기사도 쓰지말고 짜증난다,분노
13757,태평양 건너 나라 끼리도 안보를 중요시하는데 이 나라 종북좌빨들은 참...,분노
13758,이게 다 돈받아 쳐먹은 닭순실 년들 때문이다.,분노
13759,개박들 당수는 최순실이가 꿀잼~~,분노
13760,국민들 우롱하지말고 방송에서 퇴출하라!기사 내려라눈 배맀다,분노
13761,박근혜 이 벌레만도 못한것아..,분노
13762,"땅콩 안 준다고 깽판쳐도 깜방 가는데, 이 놈은 술 처먹고 깽판 부렸으니, 1년 이상은 푹 쉬겠구마.",분노
13763,기사 제목 쓰레기다 진짜,분노
13764,대통령이 아니라 동네 생양아치네.,분노
13765,또라이닭이네AI걸렸냐??,분노
13766,얼릉~~~주거삐라.,분노
13767,썩은뿌리가 다시는 자라나지 못하도록 철저하게 뽑아버려야 한다.,분노
13768,암만 그래도 쪽바리보단 낫다..ㅋㅋㅋ..화산.지진쓰나미.방사능 오염..불쌍한 쪽바리덜,분노
13769,다파해쳐라.끝까지.,분노
13770,일본한테 36년 나라 뺏기고 남자는 총알받이로 여자는 위안부로 끌려간 그 역사 되풀이하고싶으냐?,분노
13771,광우병우 박근혜 최순실 나라를 이따위로 만들어?,분노
13772,국가범법자,분노
13773,돼.지들 단체로 난리났네ㅋㅋ,분노
13774,얼마전 그 협정도 진짜 보면서 너무 빡쳤는데 저새끼도 진짜 하....,분노
13775,쪽발이 놈들아~하늘이 노하고. 땅이 안다.니들이 한짓을...,분노
13776,네이버는 이건희기사 냈나,분노
13777,죽빵날리고싶다,분노
13778,병신4적 그네 순실 기춘 병우 이네년놈은 꼭 잡아 넣어라,분노
13779,지진을 다스리는 울나라 정부 이번엔 화산폭발로?,분노
13780,연쇄담화범ㅋㅋㅋㅋㅋㅋ 센스 굿,분노
13781,33살이 팔자좀 고쳐 보겠다는데 왜이러삼~~,분노
13782,니가 말아먹은 돈이나 내 놔라!,분노
13783,국기문란은 성별 따지지말고 개작두형 즉시집행해야,분노
13784,개인사로 대통령 직위를 이용하다니이게 나라냐?,분노
13785,나라 자체가 다 썩었어....,분노
13786,그냥사형제도부활시키자^^ ㄹㅇ 이대로는답없다고본다,분노
13787,다필요없고 7시간동안 햇냐 그것만 알려주라,분노
13788,진짜 최순실이 저년은 가랭이를 찢어주길련이다,분노
13789,그렇게 억울하고 떳떳하면 조사 받으면 되잖아,분노
13790,티파니한테 유독 엄격하네 쓰레기같은 것들,분노
13791,"페미니스트:노인,장애인,어린이는 모두 강자고 사지멀쩡한 성인여자는 모두 약자다.",분노
13792,박근혜가 당한걸로 몰고가지마라. 구속시키자. 꼭 그날이 올거다,분노
13793,황교안 겉으로는 대통령 행세하면서 뒷구녕으로는 박근혜&최순실 비위맞추고 보호하고 있었구나 ㅋㅋㅋㅋㅋㅋ,분노
13794,대한민국 흡혈귀 삼성 이제 떠나라!!!!!,분노
13795,"어처구니없는 창문회, 어처구니없는 대한민국 정치판!!",분노
13796,참신한 개소리다,분노
13797,아가리를찟고십다아아아아아~~~~~~~아,분노
13798,필리핀 검찰과 경찰 그리고 사법부는 쓰레기통이다.,분노
13799,박근혜의 탄핵여부가 중심인 이 시국에서 세월호 7시간의 진실과 세월호 인양문제는 절대 빠져서는 안될 논점이다.,분노
13800,짱깨는 미국에 무릎을 꿇을것 머리을박고 석고대죄 할것,분노
13801,꼴통 중에 상꼴통 기대도안했다,분노
13802,생각없는 ㅉㅉ 진짜 때려주고싶네,분노
13803,조영남.신정아.똑같은것들끼리 붙어서 사기나 치고.사회에세 완전 매장시켜라.,분노
13804,일본놈들은 자진반납해라,분노
13805,경찰인력 남아도냐? 민생치안에 힘써라!! 힘있는 놈 돈있는 놈 뒷치닥거리 하지말고!!,분노
13806,이게 다 순실이 때문이다,분노
13807,지후선배는 잘못없어요 거짓임신한여자의 잘못입니다,분노
13808,쓰레기 쓰레기 쓰레기 쓰레기 쓰레기 쓰레기 쓰레기 쓰레기 쓰레기 쓰레기 쓰레기 쓰레기 쓰레기 쓰레기 쓰레기 쓰레기 쓰레기 쓰레기 쓰레기 쓰레기 쓰레기 쓰레기 쓰레기 쓰레기 쓰레기 쓰레기 쓰레기 쓰레기 쓰레기 쓰레기 쓰레기 쓰레기 쓰레기 쓰레기 쓰레기 쓰레기 쓰레기 쓰레기 쓰레기 쓰레기 쓰레기 쓰레기 쓰레기 쓰레기 쓰레기 쓰레기 쓰레기 쓰레기 쓰레기 쓰레기 쓰레기 쓰레기 쓰레기 쓰레기 쓰레기 쓰레기 쓰레기 쓰레기 쓰레기 쓰레기 쓰레기 쓰레기 쓰레기 쓰레기 쓰레기 쓰레기 쓰레기 쓰레기 쓰레기 쓰레기 쓰레기 쓰레기 쓰레기 쓰레기 쓰레기,분노
13809,주둥아리을 뭉개야~,분노
13810,비싼 좌약이네,분노
13811,저 바퀴벌레들 세계적으로 골치 진짜 이웃나라 피해주지말구 좀 사라졌으면,분노
13812,라멜라 개삽질한거 바탕깔면 아시아는 찬밥신세,분노
13813,그래..너도 쳐먹지마,분노
13814,군복벗어라 이년아너같은게 군복은,분노
13815,헐 문제네 문제 어디끼ㅣ지 썩었니ㅣ,분노
13816,니 섀끼 하나 때문에 성탄절 분위기도 안나고 초상집이 따로없다,분노
13817,끝까지 추잡하다,분노
13818,증인보호를 왜 이따위로 합니까,분노
13819,또라이~~,분노
13820,그러니까 고영태하고 삼자대면 시키고제대로 밝혀라첨에 jtbc에서 국정기밀 누출이라고 보여준 화면 그게 테블릿 화면이냐제대로 똑바로 밝혀봐,분노
13821,공사판 포크레인이랑 레미콘 10톤트럭 다 청와대로 집결시켜라 동학농민 혁명의 시작이다.,분노
13822,진작에 정유라 조저야 순시리 다불지 창창한애 50년 썩어라 이럼 된다,분노
13823,"네티즌들아, 인터넷 댓글작성그만하고 현장으로 나가서 정부와 중국대사관을 향해 대기오염을 다 없애버리라고 촉구시위해버려.",분노
13824,동감..!!트럼프가 위험한건 이제는 미국이 세계적인 경찰(universal police)의 역활을 그만 두고 돈만 따라 가겠다는건 세계를 망하게 하겠다는 것과 같다...!!,분노
13825,오지마라 해라. 싸가지 없는 놈들 대사관 비우고 다 철수시켜라.,분노
13826,저놈들은 도저히 구제가 안된다 살가죽을 벗겨야 한다 쓰레기들..,분노
13827,그래 그러고 유라년한태 니후임 인계하고 니들 작당해 나라팔아먹었라 미친것 이것은 닶이업다,분노
13828,하야하고 알아서 깜방들어가도 현찮을판에 얘 뭐라고 자꾸 지껄이냐,분노
13829,이완영도 단두대에 올려 대갈팍쳐라,분노
13830,진짜 나라가 구석구석 쓰레기,분노
13831,정유라때문에 떨어진 2명은 어떻합니까?,분노
13832,믿어주다.작품으로 보답..저렇게 당당하다니..,분노
13833,박씨 꺼저 병신년 칠푼아,분노
13834,정현아 순천오지마라 대 가 리 박살난다,분노
13835,"무슨~통일연대에서 집회 참석하면 일당 5만준다는 문자 무지 오네~개, 돼지들만 그기가지 내가 왜가?",분노
13836,청와대에던져핵폭탄!,분노
13837,최순실년은 고문을 허용해서 자백을 받은다음 할복으로 죄값을 치르게 해야한다,분노
13838,잡았더니 허참이면 이거 코미디 되는거 아니냐?,분노
13839,"국가 빌전은 공돌이들한테 기대면서 잘먹고 사는건 검사 의사 정치꾼등,. . .",분노
13840,댓글 연령 봐라 mbc 행복하냐?,분노
13841,광주시민들을 무참하게 죽였으니 광주 시민들에게 사죄해라.,분노
13842,질질 끌지마라 국민들 또 우울해진다,분노
13843,시리아 상대로 승점 1점 밖억 못 챙기는건가 이제는...,분노
13844,한 놈이라도 국민말 쫌 들어쳐먹어라,분노
13845,정말 뇌가있는지 의심스러움,분노
13846,니깟것들이 뭘안다고 떠드냐,분노
13847,조작도 성의가 있어야지 이걸로 당일 시술받았을 가능성이 높네,분노
13848,탄핵인용 황교안 퇴진,분노
13849,하다하다 지 애기를 파네,분노
13850,또 일본 항의하겠네,분노
13851,소스 빼돌려서 짝퉁 쭝도우 이런거만드는거아냐?,분노
13852,짱께들은 동물학대도 차원이ㅜ다르네,분노
13853,에이즈을 옮기는 똥꼬충 들은 죽어 마땅하다.,분노
13854,구라청장 구속시켜라,분노
13855,독도도 다케시마로 표기하는데 오ㅐ주냐.,분노
13856,니미1팔년들 알프스에 데려가서 꼭대기에서 밀어삐는기라 시신은 동태상태로 드는걸로,분노
13857,거짓말도 좀 그럴듯해야 믿는 척이라도 해주지 닭대가리하고 똑 같네,분노
13858,미친것들 언론 플레이 닥쳐라!!,분노
13859,개누리 박근혜 다 죽 여 버리지.말이라고!,분노
13860,지금 내려가면 국민혈세로 연금줘야해..ㅡㅡ,분노
